sampling,feature_selection,normalization,dim_red,classification,precision_score,recall_score,f1_score
oversampling,select_l1,standard_scaler,no_dim_reduction,k_neighbours,0.724992905433573,0.672629414610547,0.697830231508022
oversampling,select_l1,standard_scaler,pca,k_neighbours,0.752847386214927,0.716666666666667,0.734311625981896
oversampling,select_l1,standard_scaler,umap,k_neighbours,0.599990300279589,0.611768263183358,0.605822042437135
oversampling,select_l1,log2_transform,no_dim_reduction,k_neighbours,0.766008313485832,0.726318335752298,0.745635526521614
oversampling,select_l1,log2_transform,pca,k_neighbours,0.772378174998248,0.752418964683115,0.762267939323993
oversampling,select_l1,log2_transform,umap,k_neighbours,0.621841717230685,0.631059506531205,0.62641670352569
no_sampling,var_threshold,no_norm,no_dim_reduction,nn,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,var_threshold,no_norm,pca,nn,0.349328146606347,0.347965765890294,0.348645625330911
no_sampling,var_threshold,no_norm,umap,nn,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,var_threshold,min_max_norm,no_dim_reduction,nn,0.399650474681958,0.389081484553183,0.394295167505145
no_sampling,var_threshold,min_max_norm,pca,nn,0.384309744392574,0.381216969613196,0.382757109503182
no_sampling,var_threshold,min_max_norm,umap,nn,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,var_threshold,robust_scaler,no_dim_reduction,nn,0.348773383210086,0.350216554933536,0.349493479247345
no_sampling,var_threshold,robust_scaler,pca,nn,0.197886049154686,0.327576197387518,0.24672661042614
no_sampling,var_threshold,robust_scaler,umap,nn,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,var_threshold,standard_scaler,no_dim_reduction,nn,0.384402249875188,0.380404543046052,0.382392948292508
no_sampling,var_threshold,standard_scaler,pca,nn,0.331234140194639,0.32979945630889,0.33051524135824
no_sampling,var_threshold,standard_scaler,umap,nn,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,var_threshold,log2_transform,no_dim_reduction,nn,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,var_threshold,log2_transform,pca,nn,0.399764732478309,0.401344944363812,0.400553279914357
no_sampling,var_threshold,log2_transform,umap,nn,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_univariate,no_norm,no_dim_reduction,nn,0.275009944850759,0.335323219757182,0.302186495901264
no_sampling,select_univariate,no_norm,pca,nn,0.232317967161592,0.331715506715507,0.273258505976246
no_sampling,select_univariate,no_norm,umap,nn,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_univariate,min_max_norm,no_dim_reduction,nn,0.300007273546827,0.337759462759463,0.317766009948952
no_sampling,select_univariate,min_max_norm,pca,nn,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_univariate,min_max_norm,umap,nn,0.199312086381052,0.333333333333333,0.249461873yy389026
no_sampling,select_univariate,robust_scaler,no_dim_reduction,nn,0.272208448635463,0.331873315363881,0.299094346833512
no_sampling,select_univariate,robust_scaler,pca,nn,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_univariate,robust_scaler,umap,nn,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_univariate,standard_scaler,no_dim_reduction,nn,0.277710333850056,0.338064713064713,0.304929746012003
no_sampling,select_univariate,standard_scaler,pca,nn,0.300018370206822,0.340140415140415,0.318822065174177
no_sampling,select_univariate,standard_scaler,umap,nn,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_univariate,log2_transform,no_dim_reduction,nn,0.356440160650257,0.346410026032668,0.351353525031207
no_sampling,select_univariate,log2_transform,pca,nn,0.237386974325773,0.335207455018776,0.277941521748434
no_sampling,select_univariate,log2_transform,umap,nn,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_l1,no_norm,no_dim_reduction,nn,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_l1,no_norm,pca,nn,0.333557922821749,0.346207408943258,0.339764971222552
no_sampling,select_l1,no_norm,umap,nn,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_l1,min_max_norm,no_dim_reduction,nn,0.536322088442465,0.515449236298293,0.525678547027726
no_sampling,select_l1,min_max_norm,pca,nn,0.478149115596089,0.463318013223674,0.470616745887573
no_sampling,select_l1,min_max_norm,umap,nn,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_l1,robust_scaler,no_dim_reduction,nn,0.404678240692032,0.393762526781395,0.399145767800859
no_sampling,select_l1,robust_scaler,pca,nn,0.214479063980156,0.328711382956666,0.259583761583967
no_sampling,select_l1,robust_scaler,umap,nn,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_l1,standard_scaler,no_dim_reduction,nn,0.556470892028031,0.557719722625383,0.557094607456398
no_sampling,select_l1,standard_scaler,pca,nn,0.456466558225448,0.440485635957334,0.448333731713283
no_sampling,select_l1,standard_scaler,umap,nn,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_l1,log2_transform,no_dim_reduction,nn,0.326587431307672,0.372360448775543,0.347975137922153
no_sampling,select_l1,log2_transform,pca,nn,0.401797765026776,0.396882530467436,0.399325023090275
no_sampling,select_l1,log2_transform,umap,nn,0.199312086381052,0.333333333333333,0.249461873389026
oversampling,var_threshold,no_norm,no_dim_reduction,nn,0.671338944538494,0.585316884373488,0.625383673612642
