sampling,feature_selection,normalization,dim_red,classification,precision_score,recall_score,f1_score,status
oversampling,var_threshold,robust_scaler,no_dim_reduction,bayesian,0.6363777744228964,0.5618490256285532,0.5436553501181981,Pass
oversampling,var_threshold,robust_scaler,pca,bayesian,0.31266789295543845,0.3352171444034961,0.19259935802077224,Pass
oversampling,var_threshold,robust_scaler,umap,bayesian,0.41488131082884516,0.4072140757180127,0.40415651211801834,Pass
oversampling,var_threshold,standard_scaler,no_dim_reduction,bayesian,0.7305273476492663,0.6901768660298844,0.6929009099917772,Pass
oversampling,var_threshold,standard_scaler,pca,bayesian,0.4857386635712209,0.4784795293981645,0.4552608266173288,Pass
oversampling,var_threshold,standard_scaler,umap,bayesian,0.41276458307455766,0.3954784931162884,0.36774222285782576,Pass
oversampling,var_threshold,log2_transform,no_dim_reduction,bayesian,0.6955994779459868,0.6640612491006191,0.6671261787830199,Pass
oversampling,var_threshold,log2_transform,pca,bayesian,0.5783953123141964,0.5804508295321944,0.5714950043089104,Pass
oversampling,var_threshold,log2_transform,umap,bayesian,0.40257197693544816,0.397318390756711,0.39344112767297207,Pass
oversampling,select_univariate,no_norm,no_dim_reduction,bayesian,0.45246511404378803,0.3710060266490713,0.2822131421344359,Pass
oversampling,select_univariate,no_norm,pca,bayesian,0.3845227153747261,0.34379283670622257,0.22608906834599193,Pass
oversampling,select_univariate,no_norm,umap,bayesian,0.37523566259198443,0.3811875992978355,0.35048034991891797,Pass
oversampling,select_univariate,min_max_norm,no_dim_reduction,bayesian,0.45246511404378803,0.3710060266490713,0.2822131421344359,Pass
oversampling,select_univariate,min_max_norm,pca,bayesian,0.4442935046874392,0.3555366765340519,0.25670307758181515,Pass
oversampling,select_univariate,min_max_norm,umap,bayesian,0.40168867526187624,0.3894538332858543,0.37170659187264876,Pass
oversampling,select_univariate,robust_scaler,no_dim_reduction,bayesian,0.43793532604105295,0.36598998698736235,0.27766207927803066,Pass
oversampling,select_univariate,robust_scaler,pca,bayesian,0.31656964208710653,0.335831331894324,0.17541850680806734,Pass
oversampling,select_univariate,robust_scaler,umap,bayesian,0.39681765450326933,0.39081826483401283,0.3737255874261379,Pass
oversampling,select_univariate,standard_scaler,no_dim_reduction,bayesian,0.45246511404378803,0.3710060266490713,0.2822131421344359,Pass
oversampling,select_univariate,standard_scaler,pca,bayesian,0.3574910243836132,0.36985136617682546,0.2861958396752917,Pass
oversampling,select_univariate,standard_scaler,umap,bayesian,0.23388712147991045,0.35714285714285715,0.2825087829345137,Pass
oversampling,select_univariate,log2_transform,no_dim_reduction,bayesian,0.46371855128645917,0.4546375021440638,0.4520508906882688,Pass
oversampling,select_univariate,log2_transform,pca,bayesian,0.46352113200907175,0.44679535178222846,0.4362534077395755,Pass
oversampling,select_univariate,log2_transform,umap,bayesian,0.4248042960552687,0.42421900715863964,0.4214776738495904,Pass
oversampling,select_l1,no_norm,no_dim_reduction,bayesian,0.6757119265461647,0.6681157347824015,0.661830636096555,Pass
oversampling,select_l1,no_norm,pca,bayesian,0.4178812415654521,0.39566713319994157,0.34198967886807813,Pass
oversampling,select_l1,no_norm,umap,bayesian,0.3773258767435315,0.3788065906176143,0.34934549709364565,Pass
oversampling,select_l1,min_max_norm,no_dim_reduction,bayesian,0.6779938571026785,0.6705848705848707,0.6642940051462888,Pass
oversampling,select_l1,min_max_norm,pca,bayesian,0.5433798443867096,0.5553550175597419,0.5382431313706214,Pass
oversampling,select_l1,min_max_norm,umap,bayesian,0.3732720505294292,0.37180513847180513,0.36223616682198184,Pass
oversampling,select_l1,robust_scaler,no_dim_reduction,bayesian,0.6432105905790116,0.6201072088211196,0.6042427253823742,Pass
oversampling,select_l1,robust_scaler,pca,bayesian,0.3254769322059041,0.32565670282205716,0.1863372589179041,Pass
oversampling,select_l1,robust_scaler,umap,bayesian,0.39449151968370066,0.38893359050839366,0.3586119769554741,Pass
oversampling,select_l1,standard_scaler,no_dim_reduction,bayesian,0.6779938571026785,0.6705848705848707,0.6642940051462888,Pass
oversampling,select_l1,standard_scaler,pca,bayesian,0.510601418535016,0.5136050561247412,0.48891140934413313,Pass
oversampling,select_l1,standard_scaler,umap,bayesian,0.39700472979579016,0.3890893518190106,0.37241510965676516,Pass
oversampling,select_l1,log2_transform,no_dim_reduction,bayesian,0.606575591014115,0.6068955344545895,0.6065749718516359,Pass
oversampling,select_l1,log2_transform,pca,bayesian,0.6679682156384112,0.6666060511204868,0.6639276559210011,Pass
oversampling,select_l1,log2_transform,umap,bayesian,0.4459483214902417,0.4449091761427719,0.44165281249336147,Pass
undersampling,no_selection,no_norm,no_dim_reduction,bayesian,0.36199357251988834,0.3542163897522479,0.3313164458365443,Pass
undersampling,no_selection,no_norm,pca,bayesian,0.28811708169506334,0.3355652763388461,0.24935558493060142,Pass
undersampling,no_selection,no_norm,umap,bayesian,0.14227642276422764,0.3333333333333333,0.19943019943019943,Pass
undersampling,no_selection,min_max_norm,no_dim_reduction,bayesian,0.3381834215167549,0.3336083291764194,0.2936280033781028,Pass
undersampling,no_selection,min_max_norm,pca,bayesian,0.3962794612794613,0.40572886688922144,0.392792728228282,Pass
undersampling,no_selection,min_max_norm,umap,bayesian,0.14227642276422764,0.3333333333333333,0.19943019943019943,Pass
undersampling,no_selection,robust_scaler,no_dim_reduction,bayesian,0.40649322001809846,0.39220226903546807,0.39029322930251725,Pass
undersampling,no_selection,robust_scaler,pca,bayesian,0.32438271604938274,0.3283111418083215,0.20526070479099498,Pass
undersampling,no_selection,robust_scaler,umap,bayesian,0.24601769911504423,0.34168297455968694,0.24240652308092134,Pass
undersampling,no_selection,standard_scaler,no_dim_reduction,bayesian,0.29408866995073896,0.3032539043014466,0.2752560958932428,Pass
undersampling,no_selection,standard_scaler,pca,bayesian,0.39411524843855666,0.4040015092795109,0.39242596977403615,Pass
undersampling,no_selection,standard_scaler,umap,bayesian,0.2778761061946903,0.35032679738562095,0.257987732307974,Pass
undersampling,no_selection,log2_transform,no_dim_reduction,bayesian,0.30882936507936504,0.3143451901308469,0.29473536036036035,Pass
undersampling,no_selection,log2_transform,pca,bayesian,0.39219506846487745,0.39644360027115866,0.38181282319213355,Pass
undersampling,no_selection,log2_transform,umap,bayesian,0.27086388372926645,0.3647058823529412,0.29811230055281307,Pass
undersampling,var_threshold,no_norm,no_dim_reduction,bayesian,0.3552974103964566,0.35789557832265323,0.3466338797814208,Pass
undersampling,var_threshold,no_norm,pca,bayesian,0.28811708169506334,0.3355652763388461,0.24935558493060142,Pass
undersampling,var_threshold,no_norm,umap,bayesian,0.20636237897648688,0.32553688141923437,0.20373742972523556,Pass
